Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2017-09-25,4.27022,4.28386,4.26441,4.27635
2017-09-26,4.27647,4.29562,4.27132,4.29058
2017-09-27,4.29063,4.32585,4.28363,4.32447
2017-09-28,4.32463,4.33261,4.30542,4.3156
2017-09-29,4.3155,4.31904,4.29288,4.3131
2017-10-02,4.31042,4.32169,4.30002,4.3101
2017-10-03,4.31015,4.3194,4.30056,4.3152
2017-10-04,4.31511,4.32527,4.29351,4.29749
2017-10-05,4.29758,4.30722,4.29336,4.30321
2017-10-06,4.30336,4.31778,4.29821,4.31119
2017-10-09,4.31268,4.31756,4.29654,4.29851
2017-10-10,4.29851,4.30593,4.2858,4.2943
2017-10-11,4.29477,4.29746,4.26547,4.26991
2017-10-12,4.26986,4.28157,4.26655,4.26753
2017-10-13,4.26761,4.2703,4.24474,4.24888
2017-10-16,4.25121,4.25346,4.22715,4.2336
2017-10-17,4.23368,4.23932,4.22105,4.2367
2017-10-18,4.23677,4.23782,4.22498,4.23487
2017-10-19,4.2349,4.24382,4.2302,4.23525
2017-10-20,4.23524,4.2479,4.22744,4.23571
2017-10-23,4.23287,4.24248,4.22069,4.2295
2017-10-24,4.22956,4.24898,4.22686,4.24524
2017-10-25,4.24529,4.24912,4.2286,4.2418
2017-10-26,4.24192,4.25528,4.23219,4.25489
2017-10-27,4.25479,4.26387,4.24233,4.24646
2017-10-30,4.24823,4.25103,4.23865,4.25046
2017-10-31,4.2504,4.25081,4.23665,4.23899
2017-11-01,4.23905,4.24147,4.2304,4.23403
2017-11-02,4.23396,4.24146,4.23007,4.23425
2017-11-03,4.23425,4.24931,4.23353,4.24491
2017-11-06,4.24487,4.24872,4.23596,4.23851
2017-11-07,4.23851,4.24831,4.2322,4.2434
2017-11-08,4.2434,4.24543,4.22976,4.23715
2017-11-09,4.23689,4.23944,4.22744,4.23025
2017-11-10,4.23041,4.23569,4.22307,4.22737
2017-11-13,4.22637,4.24033,4.22357,4.23613
2017-11-14,4.23621,4.25035,4.2277,4.24858
2017-11-15,4.24863,4.25084,4.23916,4.24306
2017-11-16,4.24316,4.24441,4.23036,4.23787
2017-11-17,4.23789,4.24507,4.23169,4.23327
2017-11-20,4.23524,4.23829,4.22674,4.22909
2017-11-21,4.22902,4.23609,4.21577,4.21921
2017-11-22,4.22005,4.22155,4.20477,4.21224
