Results of simulation:
t	Alpha	Beta	Min RMSE
58 	4.32 	4.33 	0.03 	4.36 	0.03 	-0.03 	0.00 	0.74 	 0.82 	
59 	4.34 	4.35 	0.02 	4.36 	0.02 	-0.02 	0.00 	0.77 	 0.23 	
60 	4.35 	4.35 	0.02 	4.37 	0.02 	-0.02 	0.00 	0.86 	 0.14 	
61 	4.35 	4.35 	0.01 	4.37 	0.02 	-0.02 	0.00 	0.75 	 0.33 	
62 	4.37 	4.36 	0.01 	4.36 	0.00 	0.00 	0.00 	0.40 	 0.38 	
63 	4.37 	4.37 	0.01 	4.38 	0.01 	-0.01 	0.00 	0.01 	 0.97 	
64 	4.32 	4.39 	0.01 	4.39 	0.07 	-0.07 	0.00 	0.50 	 0.08 	
65 	4.30 	4.35 	0.01 	4.40 	0.10 	-0.10 	0.01 	0.34 	 0.28 	
66 	4.30 	4.34 	0.00 	4.36 	0.05 	-0.05 	0.00 	0.94 	 0.27 	
67 	4.27 	4.28 	-0.01 	4.34 	0.07 	-0.07 	0.00 	0.84 	 0.24 	
68 	4.25 	4.26 	-0.02 	4.26 	0.01 	-0.01 	0.00 	0.08 	 0.03 	
69 	4.25 	4.24 	-0.02 	4.24 	0.01 	0.01 	0.00 	0.66 	 0.87 	
70 	4.24 	4.23 	-0.01 	4.22 	0.02 	0.02 	0.00 	0.13 	 0.20 	
71 	4.24 	4.23 	-0.01 	4.23 	0.01 	0.01 	0.00 	0.33 	 0.54 	
72 	4.24 	4.23 	-0.00 	4.22 	0.02 	0.02 	0.00 	0.64 	 0.70 	
73 	4.24 	4.23 	0.00 	4.23 	0.01 	0.01 	0.00 	0.98 	 0.51 	
74 	4.26 	4.26 	0.01 	4.23 	0.02 	0.02 	0.00 	0.63 	 0.11 	
75 	4.26 	4.27 	0.01 	4.27 	0.01 	-0.01 	0.00 	0.80 	 1.00 	
76 	4.30 	4.29 	0.03 	4.28 	0.02 	0.02 	0.00 	0.60 	 0.35 	
77 	4.31 	4.31 	0.03 	4.32 	0.02 	-0.02 	0.00 	0.67 	 0.82 	
78 	4.35 	4.35 	0.03 	4.34 	0.01 	0.01 	0.00 	0.88 	 0.41 	
79 	4.35 	4.35 	0.02 	4.38 	0.03 	-0.03 	0.00 	0.95 	 0.28 	
80 	4.36 	4.36 	0.02 	4.37 	0.01 	-0.01 	0.00 	0.39 	 0.28 	
81 	4.35 	4.37 	0.02 	4.38 	0.03 	-0.03 	0.00 	0.78 	 0.08 	
82 	4.36 	4.37 	0.01 	4.39 	0.02 	-0.02 	0.00 	0.77 	 0.11 	
83 	4.35 	4.36 	0.01 	4.38 	0.03 	-0.03 	0.00 	0.91 	 0.23 	
84 	4.39 	4.39 	0.02 	4.37 	0.02 	0.02 	0.00 	0.82 	 0.82 	
85 	4.48 	4.47 	0.06 	4.41 	0.07 	0.07 	0.01 	0.71 	 0.26 	
86 	4.46 	4.48 	0.05 	4.53 	0.07 	-0.07 	0.01 	0.87 	 0.15 	
87 	4.45 	4.46 	0.04 	4.53 	0.08 	-0.08 	0.01 	0.90 	 0.15 	
88 	4.50 	4.50 	0.04 	4.50 	0.00 	-0.00 	0.00 	0.56 	 0.28 	
89 	4.49 	4.51 	0.03 	4.54 	0.05 	-0.05 	0.00 	0.37 	 0.28 	
90 	4.46 	4.51 	0.02 	4.55 	0.09 	-0.09 	0.01 	0.57 	 0.53 	
91 	4.48 	4.50 	0.01 	4.54 	0.06 	-0.06 	0.00 	0.52 	 0.07 	
92 	4.45 	4.48 	0.00 	4.51 	0.06 	-0.06 	0.00 	0.79 	 0.37 	
93 	4.48 	4.48 	0.00 	4.48 	0.00 	0.00 	0.00 	0.84 	 0.19 	
94 	4.45 	4.46 	-0.00 	4.49 	0.03 	-0.03 	0.00 	0.61 	 0.01 	
95 	4.42 	4.44 	-0.00 	4.46 	0.04 	-0.04 	0.00 	0.97 	 0.10 	
96 	4.40 	4.40 	-0.00 	4.43 	0.03 	-0.03 	0.00 	0.83 	 0.37 	
